,polarity,comment
59,-1,"For godly sorrow worketh repentance to salvation not to be repented of: but the sorrow of the world worketh death. (2 Corinthians 7:10)Let the wicked forsake his way, and the unrighteous man his thoughts: and let him return unto the LORD, and he will have mercy upon him; and to our God, for he will abundantly pardon. (Isaiah 55:7)For the wages of sin is death; but the gift of God is eternal life through Jesus Christ our Lord. (Romans 6:23)"
60,-1,Dislike button here
61,1,This song is cool
62,-1,RIP dislike count we now can't check the dislike count :(
63,1,lmfao there's already my dislike since the first time I saw it.
64,-1,i don't like it but it's nostalgic
65,0,2021
66,1,Amazing content! I love its
67,1,Love from Bangladesh
68,0,Algum veio relembrar depois de ver ele cantando com quase 30
69,1,2.6B views Wow
70,0,Roddick sings it way better.Rodrick is in a way different level
71,1,This song is about love? this is so amazing how did you make the song so good???
72,0,Totos
73,-1,Use me as a dislike button.
74,-1,use me as a DISLIKE button
75,-1,How to see the dislike count?
76,0,2010-2021
77,-1,use me as a dislike button
78,0,write your attendance who's still here
79,0,Keren inj
80,0,0221
81,0,Alguien 2021?
82,0,bieber balls
83,-1,Isn't anyone gonna talk about the fact that he was SIXTEEN in this song when he literally looks and SOUNDS like a ten year old? Not that I think its a problem.
84,0,Who else just realized drake is in this music video till 2021
85,-1,Why would they disable dislikes
86,-1,All dislikes gone
87,1,"2021 is almost over, who else is just like me still love the old Bieber"
88,0,c'est pas ouf
89,0,2022
90,1,Very nice song
91,0,sem defeitos
92,-1,"I lowkey wanted to come back years later, just to see how much dislikes this song has"
93,-1,DISLIKE
94,1,I love this song
95,0,How many people are still herr
96,1,Him: fame at like 13Me: about his age at the time still playing the Dino game when the internet goes out and playing computer games
97,1,I want back this Justin .
98,0,Yea alot of people came back to the song every sing day thats  crazyyyyyyyy
99,0,Dec 8 2021 still watching
100,-1,Holy shit he has changed
101,0,Jaja los pulpines ya ni escuchan esto solo por nostalgia nada ms
102,0,Quem lembra kkkkk tinha 18 anos...
103,1,LOL
104,1,That gorgeous tall girl Justin was flirting with is his older sister. He was shy back then at the start of his career so she volunteered to get cast in this music video to help him feel more comfortable on camera :)
105,0,08.12.21
106,1,1:20 boy ain't no way tha boii look like drake ong
107,1,I love this song
108,0,Van do arrocha msica quintal molhado acessa l
109,-1,Use me as a dislike button.
110,-1,use this as a dislike
111,0,POV: this is a copy of the way you make me feel by MJ
112,-1,Use me as dislike button:))
113,-1,dislike di
114,-1,rip dislike amounts :(
115,1,woah 19 million likes and no dislikes!? people must've really liked this one!
116,0,"2,6"
117,0,Ciao
118,-1,Use me as a dislike button
119,-1,Dislike:
120,0,This song is a legend
121,0,Hi
122,-1,I was gonna check the dislike count again but i forgot about the update...
123,0,He was so young
124,-1,Use me as dislike button
125,0,7 de Dezembro de 2021. E meus filhos escutando Justin todos os dias. Show.
126,0,2021?
127,1,Can I get some timbiebs pls?
128,0,"Slamat,anda menemuka komen indo"
129,1,masterpiece
130,-1,youtube is kinda dumb now everyone thinks this is a good video.
131,-1,Use this comment as the dislike counter
132,0,BABY was my first Hollywood song !hehe
133,1,"I love it, I listened to it since I was little  I'm nostalgic now I'm 16"
134,-1,use me as a dislike button
135,0,Alguma brasileiro aqui?
136,0,its_me_dev1601
137,1,I think JB is the happiest person in the world now after YouTube remove the dislike button
138,-1,Use me as dislike button
139,0,Oooooooooooooooooooooooooobeibeooooooo
140,-1,"Future generation, don't be fooled , this song was the most disliked video on youtube."
141,1,"19 m likes :Dgo 20,000,000"
142,0,Let me tell you this video has over 12M dislikes..
143,1,love you Justin
144,0,uwu
145,0,Evergreen
146,-1,Use me as a dislike button
147,0,Justin Bieber em 2021
148,1,Nice
149,1,19M likes? This song must be popular.
150,-1,Nessa poca quem no conhecia essa msica e porque no era da cidade kskddk
151,0,.
152,0,Let's see how many subscribers did I get from this comment
153,1,"It's December 2021, let's see how many legends are watching to this masterpiece"
154,1,Let's see how many legends are active in January 2022.....
155,0,Aguante Argentina
156,-1,12 Million dislikes (stand 07 December 2021)
157,-1,Dislike
158,1,December 7 who is listing after 11 years I always like to listen this song
159,1,Lol kid
160,0,Voice
161,1,Justin your my idol and fav singer and I love ypu vouce
162,0,Justin
163,0,baby baby baby
164,0,2021I'm here again
165,1,Still here lmao
166,1,Lol
167,0,Legend are listening song in 2021
168,-1,This has no dislikes. This song must be good
169,0,1:15
170,1,I wish I could dislike it
171,1,Remember those days when we used to dislike this just for fun
172,1,Wonderful
173,1,Use me as a new dislike button (:
174,-1,"All who dislike, like this comment"
175,0,I came back to watch this OMG
176,1,Been 11 years...Still listening to this ..  This song is so amazing
177,0,Hello
178,1,Wow 19m likes! This song must be veerrryy good!!!
179,1,3:39 When you trust someone without a second thought
180,0,Noo
181,1,"You can still use me, your favourite Fhrer, as a Dislikebutton! :)"
182,0,Eu ouvia isso quando era mais nova agr to ouvindo agr que felicidade cara
183,1,omg 19 million likes. What a masterpiece.
184,1,"Mds, minha tia era doente por esse moleque daquela poca, at camiseta com a cara dele ela tinha  era engraado quando chamava ele de justin biba e ela ficava putassa kkkkk"
185,-1,I don't like this justin
186,1,Better than Justine Biber.
187,0,Old memories..
188,0,2021
189,-1,A like on this comment counts as a dislike on the video
190,0,IM backk
191,1,best song of the 21st century
192,-1,"This has no dislikes, this song must be good.....amazing"
193,0,aga be ocukluum aklma geldi
194,-1,2:02 wtf it's Drake ?
195,0,I am a boy
196,1,I like this song I love I know that you will married
197,-1,0 dislikes baby!
198,0,BABY
199,1,Iam indian but iam big fan  Justin Bieber
200,0,Kid today will never know about bieber fever..
201,1,It's December 7 2021 and i still love this music
202,0,Tim Biebs
203,0,This song is amazing.....
204,0,2021
205,0,Nostalgic
206,0,Yo 11 years ago
207,1,Nice
208,1,"justin bieber best song - BABY , SORRY , LOVE YOURSELF , LET ME LOVE YOU  , YUMMY , Intentions  Peaches"
209,1,I REMEMBER THIS SONG FROM LIKE WHEN  I WAS IN 8TH GRADE OR WAS I IN 7TH GRADE
210,-1,pov: 12 m dislikes
211,1,"This song and Love Me by Lukaz are literally the only two things getting me through hard times, thank god for music! I love you."
212,0,Som song
213,1,Love Justin Biebieby music
214,0,vvovv(Wow)
215,1,I come in 2021 but now this time this song's popularity is great Cause this song is ever brave
216,0,Baby
217,0,This song never gonna get older
218,0,Nyx
219,1,Greetings from 2021 :)
220,0,This song is actually tr^sh
221,-1,You are no longer the most disliked video in YouTube xD
222,0,Piqi
223,0,5 million comments coming soon!!
224,1,No dislikesMust be a good song!
225,0,My first english pop song when i was 15 years old..
226,1,I'd been singing Baby for more than 10 years and I've never bored
227,1,the dislike is back hahaha
228,0,"After 11 years this song brings childhood memories , ,"
229,0,2:12 osam
230,-1,Use me as the dislike button
231,0,Aaaaa como eu era feliz e nao sabia saudades infncia  voltando aqui pra mostra ao meu filho o que a mame danava
232,1,Very good
233,1,It's crazy how many people come back to this everyday. This song is masterpiece
234,1,where is the dislike pls comeback it hahaha
235,1,It's incredible how YouTube can change People's lives if one is willing To put in hard Work. Congratulations to you Justin . May you be even More successful. You deserve every bit of it.
236,0,Legend are watching in 2021
237,1,Legend watching in 2021 after 11 years .... but still this song is on GOD LEVEL!
238,1,"This song has some magnets attached to it , everyday i use to listen this song like anything .  When this song got released justin beiber owned th world in few days ..."
239,-1,Dislike here.
240,1,unironically good song
241,-1,Dislike
242,0,Back after 11 years and I'm 31 today
243,0,2021
244,0,2021 and STILL A BANGER
245,-1,I'm regretting that i searched this  wish I could see the dislikes
246,1,Super piosenka
247,0,Diciembre 2021
248,0,deslike
249,-1,Dislike
250,0,1:14 what the drake doin?
251,-1,DISLIKE
252,-1,No matter what people say about dislikes this song absolutely beautiful...after all we all are still obsessed after more than 10 years
253,0,This song of justin Beiber(Baby) brings my childhood days back.
254,1,what a masterpiece
255,-1,Dislike button here
256,1,Amazing song forever
257,1,hearstyle nice!!
258,0,Did you guys notice Drake at 1:14
259,-1,this song sucks jess man
260,0,baby baby baby baby
261,0,still listening mood activation code music
262,0,I listened to this song when I was 5 years and now I'm 11
263,0,Coll
264,1,Wow great  this song got no dislike  cool
265,-1,The people who hate him is crazy
266,-1,Let's make a new dislike button....*Dislike*
267,-1,Just here to dislike the song to contribute.
268,-1,This video have no dislike such a heart touching song
269,1,wow
270,0,Song still alive...but every single piece of world has an end..same theory for this too...
271,0,Now have 4K
272,-1,19m likes and no dislikes this song must be smthg
273,-1,Dislike
274,1,Nice song
275,1,funny
276,0,Years fly...
277,0,7TH DECEMBER 2021
278,-1,Use me as dislike button
279,1,Big fan sir
280,1,Can't believe he is the same Justin beiber.He was so good earlier
281,0,"I'm here to check the views, who else?"
282,0,Still a hit !!!
283,1,It's December 2021 let's see who is listening to this masterpiece
284,0,2021
285,0,Back in 2010 when EVERYBODY and I mean EVERYBODY lOvEd this song SOOOO much. The no dislikes proves it all.
286,0,Buy Virtual Global Education LTDShare Target:-11.5 till December 25
287,1,Me in 2010: (Covers ears to this)Me now: Openly enjoying it.
288,-1,where the dislikes :(
289,-1,dislike
290,-1,Justin I miss you
291,0,Who is here watching in 2021
292,0,Voltando aqui.. 11 anos
293,1,"You know you love me, I know you careJust shout whenever and I'll be thereYou are my love, you are my heartAnd we will never, ever, ever be apartAre we an item? Girl, quit playingWe're just friends, what are you saying?Said, There's another and look right in my eyesMy first love broke my heart for the first time and I was likeBaby, baby, baby, ohLike baby, baby, baby, noLike baby, baby, baby, ohThought you'd always be mine, mineBaby, baby, baby, ohLike baby, baby, baby, noLike baby, baby, baby, ohThought you'd always be mine, mineOh, for you I would have done whateverAnd I just can't believe we ain't togetherAnd I wanna play it cool, but I'm losin' youI'll buy you anything, I'll buy you any ringAnd I'm in pieces, baby, fix meAnd just shake me 'til you wake me from this bad dreamI'm going down, down, down, downAnd I just can't believe my first love won't be around and I'm likeBaby, baby, baby, ohLike baby, baby, baby, noLike baby, baby, baby, ohThought you'd always be mine, mineBaby, baby, baby, ohLike baby, baby, baby, noLike baby, baby, baby, ohThought you'd always be mine, mineLuda!When I was 13, I had my first loveThere was nobody that compared to my babyAnd nobody came between us or could ever come aboveShe had me going crazyOh, I was star-struckShe woke me up daily, don't need no StarbucksShe made my heart poundIt skip a beat when I see her in the street andAt school on the playground but I really wanna see her on the weekendShe knows she got me dazing'Cause she was so amazingAnd now my heart is breaking but I just keep on sayingBaby, baby, baby, ohLike baby, baby, baby, noLike baby, baby, baby, ohThought you'd always be mine, mineBaby, baby, baby, ohLike baby, baby, baby, noLike baby, baby, baby, ohThought you'd always be mine, mineI'm gone (yeah, yeah, yeah, yeah, yeah, yeah)Now I'm all gone (yeah, yeah, yeah, yeah, yeah, yeah)Now I'm all gone (yeah, yeah, yeah, yeah, yeah, yeah)Now I'm all gone (gone, gone, gone)I'm gone"
294,1,At the age of 6 singing baby baby are best childhood memories .. I am here after 11 years..
295,0,19M likes... world changes too quickly
296,0,Alot still listen in 2021
297,1,Love from earth
298,0,How many Justin Fan's are listening to this song in 2021
299,-1,Dislike
300,-1,dislike
301,-1,I came here every few months to see that this is still the #1 most dislike music videos. But now I can't see it anymore... So sad...
302,1,I can see even the comment commented 7 days ago have 9k likes!
303,0,Bekaar
304,1,This is a masterpiece.
305,1,Best song ever
306,1,Still.... Favorite
307,1,Omg i cant stop watching this vido
308,1,Its Too Good
309,1,Amazing Song.
310,0,2021
311,0,Did u guys got ur order tim  biebs
312,0,Only legends knows that the picture is changed
313,0,he is so cute:)
314,0,Osm
315,1,No dislike which is amazing and it good peaceful music for heaven people but not hell.
316,1,Huwaaat?? Only 11 years?? Felt like this song was made 15 years ago!! Is that a good thing??
317,-1,Dislike
318,-1,"Dear YouTube , what's the point of having dislike button if we can't see number of dislikes?"
319,-1,"After over a decade, this still sucks"
320,-1,Dislike
321,0,0:51
322,-1,Dislike
323,0,11 years old song for real ?
324,-1,Use me as a dislike button
325,1,I like it
326,0,Bro havent yall realised that drake is clapping in the vid
327,-1,"Current dislike count: 12,470,605"
328,-1,Why did this and still get so much hate
329,-1,Dislike Button Is Here...
330,1,2 minutes Silence for those who desliked after playing it on repeat
331,-1,DISLIKE THIS VIDEO
332,0,Un comentario en espaol bueno 2021 y yo aqu escuchando Justin de pequeo
333,1,It's such a good song with amazing lyrics  I love this I watch this everyday
334,0,te la dedico jearim uwuuwwuuwywywyw
335,-1,The girl is taller than poor Justin
336,0,"Omg, nostalgiaaaa"
337,0,This hit different on mute
338,-1,DISLIKE
339,0,let goooooooo
340,-1,I feel so weird watching a 13 year old talking and performing like this. It just feels wrong.
341,0,Okkk pero esta cancin
342,1,"lt's 7 DECEMBER 2021, let's See how many legends are listening to this masterpiece"
343,-1,Like= dislike
344,1,"The star voted for the diesel  to put the ground star ,, control sj ,, it is place arabic ,, if the antenna stars are  diesel tank star like kids like building drive out war want gold stars want sky see privet day"
345,1,Wow what a masterpiece
346,0,Now 4k
347,0,The past..
348,-1,Came back here to let you all know I did indeed dislike the song
349,0,Its already 2021 but im still inlove to justin
350,1,December 2021 he is the best
351,0,THIS SONG IS LIT
352,0,Dec-7-2021
353,0,7 Desember 2021
354,-1,dislikes
355,0,Wait he was 16 in this!?
356,-1,Use this button as a dislike button
357,1,I love the music
358,-1,damn 0 dislikes
359,0,Me acabo de enterar que sale Drake en el videoclip 1:22
360,0,2  4  19
361,-1,"This msg is for future kidsHey guys! This song was the most disliked song on YouTube,but after update of youtube now its hidden"
362,0,it's the way i see drake and tinashe in the mv
363,1,I love Justin Bieber who doesn't
364,-1,Use this as a dislike button
365,-1,F for all the dislikes
366,1,this thing almost has 20m likes in 11 years
367,-1,Use me as a dislike button
368,1,It's already 2021 almost 2022 but i really love this song so much
369,0,GOOOOOOOOOOOOOOO JU
370,-1,dislike
371,1,If you are listening this 11 years later you are a true legend
372,1,19m likes 12m dislikes rn
373,0,December 2021 who's here with me
374,-1,Use me as Dislike button
375,0,Youtube views 2b.. and bluetooth send 5b
376,-1,Wtf where's the dislikes
377,0,RIP 11M Unlikers
378,0,1:14 is that drake
379,1,Verry nice song
380,1,Justin me and my best friend love you so Much
381,1,Who's still listening to this masterpiece song 2021
382,1,When I was in 8 grade I watched this song first time  still now it's my favorite  (14 years). Always my favorite . And he is my first favorite singer .
383,0,Lgrimas de lembranas caem sdds
384,0,Deslikes
385,-1,Dislike
386,0,bro the shoes
387,-1,Dislike
388,0,Come and Finder me
389,0,Im here
390,0,Baby
391,0,Im that Girl
392,1,Oh you remember me i promise
393,1,I like you wene you where 10
394,0,ello
395,-1,"These songs when Bieber sang, marked my childhood a lot when I was 7 years old in 2014, now I'm 13 and I really miss this Bieber...And all the songs Bieber already sang...I miss my childhood... ."
396,1,Best Award winning Arduino project is here:-
397,-1,That's why I disliked
398,0,Back To After 12 Years!
399,-1,Sick of this song !!!!
400,-1,Dislike
401,1,HELP WHEN I REMMEBR THIS
402,-1,AND the dislike is gone
403,1,Esta cansion sela dedico atodas las mujeres ermosas cuidense (:
404,0,BABY BABY BABY NOOOOOOOOOOOOOOOOOOOO
405,0,In 2021 people came here to see the views
406,1,I remember when this was being played everywhere and I started to hate it cuz of that. Still a good song though!
407,0,Who watching on 2021?????????????????
408,0,ocukluumun arks
409,-1,"no hay dislikes, es la.mejor cancin!"
410,-1,Use me as dislike button.
411,0,Hola
412,1,I always hearing this song cause his sing and background music are superb amazing
413,0,2021
414,0,Justin
415,1,man it has 19M likes... must be the BEST SONG EVER  (definitely not 1D tm)
416,0,Realising I'm getting older
417,0,Music video: 2 billion vewsMe:like noooo
418,0,@Justin Bieber
419,0,@JustinBieber I'm coming to your consert in joburg
420,0,2021 still see this song
421,1,My favorite song
422,1,Love love love love love love love love love love love it
423,0,Paz ola
424,0,CAGADA DE CANCION
425,1,justin         bieber   jij  ben t  op  je   2   jaar  aan  het  drummen   en   gidaar   en   tropet   en   op  je    15  jaar  was  je  mee   aan         het   zingwestreid   cool
426,0,DAM GO BOYYYYYY GET UR GURLLL
427,1,So good song
428,0,Never gets old.
429,-1,Since there is no dislike button anymore use my comment as a dislike button
430,-1,This video had 20 m dislikes with 19 m likes...Wonderful song though.
431,0,Hiii
432,-1,Well there a problem of dislikes.
433,0,Legendary song
434,1,"Hace 11 aos que sali esta cancin y la verdad es que la escuch tantas veces y tan atentamente, los tonos y las frecuencias de Justin me dieron el valor para admitir mi homosexualidad, le quiero agradecer pblicamente al artista, al compositor, al productor, a los msicos y a todo el pblico que dio like a este video. Mil gracias."
435,0,Still Can't believe that it has been 10yrs..
436,-1,No dislike now
437,-1,Dislike
438,0,I watching 2021 /6 / 11
439,0,Essa msica me d tanta nostalgia---
440,1,So cute
441,1,I love you
442,1,nice
443,1,Nice
444,-1,Las estimaciones son 1500000 dislikes vale verga
445,1,Like this song. #2021
446,1,How many people are listening this amazing song in December 2021 (after 11 years)?!
447,0,I am from assam.do you know about  assam ?.mur falor pora
448,0,iconic and nostalgic ahhh
449,0,Who's watching this in December 2021??
450,1,Like so the gen omega will recognize our culture
451,1,who likes this song ?
452,-1,Use me as a dislike
453,0,Absolutely world superhit song
454,0,1:14 in the video and i see Drake?
455,1,11 years gone No delikes yet... That means this song must be good
456,0,This song was composed when I was 1 year old
457,0,2010 i am not born yet evan and now almost 2022 whoaaa
458,1,Nobody khew this handsome will end up being a full-fledged narc.
459,0,2011 Vibes
460,-1,current dislikes: 12m
461,-1,"no choice, but i remember this i foun in my tablet years ago"
462,-1,i am the new dislikes button. like for dislike
463,0,"Nessa poca ele fazia meu curso, abandonou e ficou feio"
464,0,I searched for the most viewed YouTube video ever   And iam here
465,1,Nice video I like it very much
466,0,People change but this song
467,1,I am your fan I love you so much
468,0,"If you are here in 2021, you are a legend"
469,0,Baby
470,1,"This song and Love Me by Lukaz are some of the only things getting me through these hard times, thank god for music! I love you"
471,1,Imagines how much it was that year with friends and family
472,-1,Where are dislikes  ? This song has second most dislikes in the world.
473,0,This popped up on my recommendation
474,0,"12..6.2021 , back after 10 years ."
475,0,Eu amava demais
476,0,2021
477,0,heyy! anyone here? :)yaaaaaaaaaaaaaaaa
478,0,.
479,1,2010 baby baby baby 2015 sorry sorry sorry 2020 yummy yummy yummy   what is next
480,0,That's a pure Classic .
481,0,back after 11 years
482,-1,"I came here just to see if return youtube dislikes works. 12M dislikes, it works perfect!"
483,0,"2021,anyone??"
484,-1,Im your dislikes button now + ratio
485,-1,It's crazy how many legends come back this song everyday.This song is Legendary
486,1,"This song is like a wine, the more you listen to it the better you feel more. I really love this beautiful song"
487,1,"It's DECEMBER 2021, Let's See How Many Legends Are Still Listening to This Masterpiece"
488,0,"11 years and still no dislike, we all know it's amazing"
489,-1,Use me as a dislike button
490,-1,Apun sirf ye dekhne yaha aya ki iska bhi dislike Hide hua ki nahi!
491,-1,This is bad song I hate this song
492,0,2021
493,1,Nice song...
494,0,F
495,0,Look at where he is now
496,0,Op
497,0,compare this guy with the guy in stay
498,-1,Where are 12 million dislike.
499,0,Who else seeing it after 11years
500,0,Will
501,-1,one like under this comment - one dislike under the video
502,1,If anyone interested to buy
503,0,What a nostalgic feelings after listening this song.
504,-1,Why? YouTube why You erased the dislikes. you condemned us
505,0,2.5B views
506,-1,NOOOOOOO THE DISLIKE BUTTON
507,1,What a song After 11 years it's want to liked
508,0,I listen it after 11 Year!  Man the song has anything
509,0,I'm only 3yrs older than this song-
510,1,Wow justin
511,1,"of men are cold in the last days, turn now.for what is the deal if you gain the whole world but still lose your own soul..just like in the days of Noah God will judge the world.."
512,0,2010 : Baby Baby 2021: Baby Baby Not changed its remains constant
513,0,Justin Bieber in 4k quality underrated
514,1,Who likes this song like me
515,0,"December 2021, it's cold, I'm broken--I'M VIBING!!!"
516,1,Dammit I was hoping I'd be first person here today something about the dislikes being gone
517,0,December 2021 i'm here again
518,1,11 year ago but this song so Beautiful
519,1,Love
520,1,Here to listen this masterpiece after 11 years
521,0,JAMAN HP BLACKBERRY INI
522,0,2021
523,-1,Dislike
524,0,How many Indians are here
525,0,Baby baby oh
526,1,Good
527,0,Yo Drake  is in this video
528,1,I love song
529,1,My Cousin Hates Justin Bieber So Much And So Does Some Of Her Friends
530,-1,"Ohh ohh ohhhh. Me llamo Martn y estoy muy bien, disculpa querido no te acerques, antes me pegabas ahora no podes, porque desde hoy ya nadie aqui me tocara sino yo grito leidi leidi leidi ohhhh"
531,1,I like it bro
532,1,I like you somuch justin bieber
533,-1,Wow no dislikes
534,1,Cool
535,0,Anyone listening? 6/12/21?
536,1,She looks like Selena  I'm sorry
537,0,Amd then theres me who thinks that the girls was selena gomez
538,-1,*****It's crazy how many people come back to this everyday.This song is legendary. It's So Addictiv    *****
539,-1,*****It's crazy how many people come back to this everyday.This song is legendary. It's So Addictiv    *****
540,-1,*****It's crazy how many people come back to this everyday.This song is legendary. It's So Addictiv    *****
541,-1,*****It's crazy how many people come back to this everyday.This song is legendary. It's So Addictiv    *****
542,-1,*****It's crazy how many people come back to this everyday.This song is legendary. It's So Addictiv    *****
543,-1,*****It's crazy how many people come back to this everyday.This song is legendary. It's So Addictiv    *****
544,0,very very cooooool song. heart touching  song.
545,-1,Use me as a dislike button lul
546,-1,WTF drake. 1:20
547,1,66.4 millones de pendejos igual que este wey XD
548,1,Very beautiful love you every one lhoep see this boy in lraq
549,1,We need to admit guys this song was good but still i loved the fact we united to make this the most disliked video ever on YouTube
550,0,Anyone here At The End Of 2021?
551,1,Best song in 2021
552,-1,Dislikes left this chat ........
553,-1,Use me as dislike button
554,0,11 yrs.. still a legendary song
555,1,left this comment here and hope after 1 year it will have 1 thousand likes
556,1,OMG i really love this song :&gt;
557,1,wow 2 billion views !!!!!!
558,1,Wow he's good. I think this kid has future in music.
559,0,Which legend see in 2021
560,1,I LOVE YOU MY IDOL JUSTIN BIEBER
561,1,No dislikes? Must be a very amazing song!!
562,0,soy yo o drake aparece ahi???
563,1,"It's December 2021, Let's see how many legends are listening to this masterpiece"
564,0,baby baby oohh
565,0,Salmo 32:8-9
566,-1,12 MILLONES DE NO ME GUSTA12 MILLION DISLIKEs
567,0,"Salmo 31:11, Salmo 32:5."
568,1,Yeah true
569,0,Baby baby
570,0,"Nov 6th, 2021"
571,-1,Hard hai bhai song
572,0,this song never dies tho i heard it's trending again OFC ON TIKTOK
573,-1,A message to future generations: let this song die.
574,1,respect
575,-1,Put here your dislike
576,1,You know I try to find new music every now and then. From any genre no matter what artist I'm not bias I just want good songs. So I look up good music and this is the first thing that comes up. I'm officially done with the internet I'm moving into the middle of the woods see ya nikkas later
577,1,Omg justin is just a teen in here is he's good at singing
578,-1,"This song hit so hard, it broke the dislike button."
579,0,11 years later and this song still slaps
580,0,iconic
581,1,i here this song before yeah i here this
582,0,bay talk us later do
583,0,on song  baby
584,1,don't forget need us camin do ok
585,1,"Hi I'm from Cambodia I really love this song, I love listening to this song since I was not born."
586,1,finally do ok
587,0,hey fans Justin all right
588,0,Back after 11years
589,1,best song of 2010 remembering my childhood
590,0,Velhos tempos...agora ano que vem vou fazer 18 anos como eu queria voltar a ser criana
591,-1,Usenme como boton de dislike
592,0,2:13
593,-1,"I disliked this video when i was 12 years old, now I'm 23 and I come back every day to listen to this again"
